gender,ministries,cdm_townships,Latitude,Longitude,current_living_district,pregnant,five_years_old_children,PWD,house_destroyed,house_damaged,cdm_injured,cdm_family_member_deaths,cdm_family_member_injured
Male,Ministry of Health and Sports,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,No,No,No,No
Female,Ministry of Health and Sports,Wetlet,22.36715,95.78812,Mandalay,No,Yes,No,No,Yes,No,No,No
Male,Ministry of Health and Sports,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Female,"Ministry of Agriculture, Livestock and Irrigation",Wetlet,22.36715,95.78812,Kyaukse,No,No,No,No,Yes,No,No,No
Male,"Ministry of Agriculture, Livestock and Irrigation",Singu,22.54838,95.99655,Shwebo,No,No,No,No,Yes,No,No,No
Female,"Ministry of Agriculture, Livestock and Irrigation",Kyunhla,23.31964,95.5321,Aungmyaythazan,No,No,No,No,Yes,No,No,No
Female,"Ministry of Agriculture, Livestock and Irrigation",Kyunhla,23.31964,95.5321,Mahaaungmyay ,No,No,No,No,Yes,No,No,No
Female,"Ministry of Agriculture, Livestock and Irrigation",Myitkyina,25.38749,97.39036,Mahaaungmyay ,No,No,No,No,Yes,No,No,No
Female,"Ministry of Agriculture, Livestock and Irrigation",Myitkyina,25.38749,97.39036,Aungmyaythazan,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Female,Ministry of Planning and Finance,‌Myaung,21.83164,95.42425,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Planning and Finance,Sagaing,21.88008,95.96231,Sagaing,No,No,No,No,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Monywa,22.12168,95.13963,Naypyidaw,No,Yes,No,Yes,No,No,No,No
Male,Ministry of Transport and Communications,Taze,22.94407,95.37361,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Male,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Sagaing,21.88008,95.96231,Sagaing,No,Yes,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Monywa,22.12168,95.13963,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,"Ministry of Social Welfare, Relief and Resettlement",Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Female,"Ministry of Social Welfare, Relief and Resettlement",Sagaing,21.88008,95.96231,Sagaing,No,No,No,Yes,Yes,No,No,No
Female,"Ministry of Social Welfare, Relief and Resettlement",Sagaing,21.88008,95.96231,Sagaing,No,No,Yes,Yes,Yes,No,No,No
Female,"Ministry of Social Welfare, Relief and Resettlement",Sagaing,21.88008,95.96231,Mandalay,No,No,No,Yes,Yes,No,No,No
Female,Ministry of Transport and Communications,Taze,22.94407,95.37361,Mandalay,No,Yes,Yes,Yes,Yes,No,No,No
